app_id,title,review_count,avg_review_score,low_score_rate_1_2,ad_complaint_rate,reward_rate,difficulty_rate,repetition_boredom_rate,bug_performance_rate,payment_iap_rate,positive_fun_rate,avg_risk_signal_count,review_risk_score,developer,genre,score,ratings_count,reviews_count,installs,min_installs,real_installs,free,contains_ads,in_app_purchase,updated,content_rating
com.playrix.gardenscapes,Gardenscapes,100,3.27,0.41,0.0,0.12,0.17,0.02,0.01,0.14,0.24,0.34,10.15,Playrix,Casual,4.7577977,13289291.0,354141.0,"500,000,000+",500000000,593745736,True,False,True,2026-06-05 19:42:41,Everyone
com.zeptolab.ctr.ads,Cut the Rope,100,4.14,0.2,0.18,0.0,0.07,0.0,0.01,0.01,0.39,0.27,9.75,ZeptoLab,Puzzle,4.4592757,2711917.0,94182.0,"100,000,000+",100000000,265378087,True,True,True,2026-02-09 10:25:41,Everyone
com.playrix.township,Township,100,3.89,0.25,0.08,0.01,0.04,0.04,0.03,0.07,0.27,0.26,9.45,Playrix,Casual,4.6939836,12690271.0,371102.0,"500,000,000+",500000000,503841372,True,False,True,2026-05-13 19:01:33,Everyone
com.vectorunit.cobalt.googleplay,Beach Buggy Racing 2,100,3.66,0.26,0.09,0.04,0.04,0.02,0.03,0.04,0.26,0.22,9.350000000000001,Vector Unit,Racing,4.4764485,899637.0,10954.0,"100,000,000+",100000000,106932101,True,True,True,2026-05-27 00:52:58,Everyone
com.halfbrick.fruitninjafree,Fruit Ninja®,100,4.08,0.2,0.12,0.02,0.03,0.0,0.04,0.05,0.33,0.24,9.100000000000001,Halfbrick Studios,Arcade,4.512653,5373018.0,213492.0,"500,000,000+",500000000,636641958,True,True,True,2026-05-20 02:52:05,Everyone
com.tripledot.triple.tile.match.pair.game.three.master.object,Triple Tile: Match Puzzle Game,100,4.44,0.11,0.15,0.02,0.09,0.01,0.08,0.02,0.47,0.35,9.05,Tripledot Studios Limited,Casual,4.8329406,1052409.0,21764.0,"50,000,000+",50000000,74366925,True,True,True,2026-04-23 16:03:49,Everyone
com.rubygames.assassin,Hunter Assassin,100,3.9,0.24,0.13,0.0,0.04,0.0,0.01,0.0,0.11,0.18,8.95,Ruby Games AS,Action,4.217198,4280634.0,32740.0,"500,000,000+",500000000,693862570,True,True,True,2026-05-21 12:14:08,Everyone 10+
com.farlightgames.pgame.gp,Clash of Critters,100,4.37,0.13,0.12,0.01,0.06,0.04,0.03,0.08,0.51,0.33,8.35,FARLIGHT,Casual,4.515411,19016.0,2374.0,"1,000,000+",1000000,2183864,True,False,True,2026-06-02 07:17:47,Everyone 10+
com.zynga.pottermatch,Harry Potter: Puzzles & Spells,100,4.11,0.2,0.06,0.06,0.1,0.01,0.05,0.11,0.58,0.33,8.300000000000002,Zynga,Puzzle,4.7003646,910542.0,53150.0,"10,000,000+",10000000,24812202,True,True,True,2026-05-15 23:55:38,Everyone
net.peakgames.match,Match Factory!,100,4.23,0.13,0.13,0.12,0.12,0.01,0.02,0.11,0.58,0.39,8.25,Peak,Puzzle,4.6652956,651213.0,22691.0,"10,000,000+",10000000,25652337,True,False,True,2026-05-22 13:39:17,Everyone
