app_id,title,developer,genre,genre_id,score,ratings_count,reviews_count,installs,min_installs,real_installs,free,price,currency,contains_ads,in_app_purchase,released,content_rating,url,updated
com.playrix.homescapes,Homescapes,Playrix,Casual,GAME_CASUAL,4.727294,13303582.0,370362.0,"500,000,000+",500000000,516697580,True,0.0,USD,False,True,"Sep 19, 2017",Everyone,https://play.google.com/store/apps/details?id=com.playrix.homescapes&hl=en&gl=us,2026-06-02 17:42:58
com.rovio.baba,Angry Birds 2,Rovio Entertainment Oy,Casual,GAME_CASUAL,4.1044436,6300129.0,273753.0,"100,000,000+",100000000,339796807,True,0.0,USD,True,True,"Jul 23, 2015",Everyone,https://play.google.com/store/apps/details?id=com.rovio.baba&hl=en&gl=us,2026-05-25 10:31:18
com.mojang.minecraftpe,"Minecraft: Dream it, Build it!",Mojang,Arcade,GAME_ARCADE,4.3181057,5680480.0,632911.0,"50,000,000+",50000000,90145997,False,6.99,USD,False,True,"Aug 15, 2011",Everyone 10+,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&hl=en&gl=us,2026-05-21 16:37:56
bubbleshooter.orig,Bubble Shooter - Classic Pop,Bubble Shooter,Puzzle,GAME_PUZZLE,4.5867267,2340488.0,32261.0,"500,000,000+",500000000,516224507,True,0.0,USD,True,True,"Feb 27, 2013",Everyone,https://play.google.com/store/apps/details?id=bubbleshooter.orig&hl=en&gl=us,2026-05-19 13:37:43
com.WalkTalk.FlightMaster,Epic Plane Evolution,VOODOO,Action,GAME_ACTION,3.9838946,97280.0,6463.0,"10,000,000+",10000000,39458751,True,0.0,USD,False,True,"May 6, 2023",Everyone,https://play.google.com/store/apps/details?id=com.WalkTalk.FlightMaster&hl=en&gl=us,2026-05-28 16:11:14
com.dreamgames.royalkingdom,Royal Kingdom,"Dream Games, Ltd.",Puzzle,GAME_PUZZLE,4.5741496,2275489.0,24590.0,"50,000,000+",50000000,91595555,True,0.0,USD,False,True,"Nov 20, 2024",Everyone,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom&hl=en&gl=us,2026-06-01 12:27:32
net.peakgames.toonblast,Toon Blast,Peak,Puzzle,GAME_PUZZLE,4.634036,4588135.0,390008.0,"100,000,000+",100000000,129984200,True,0.0,USD,True,True,"Aug 25, 2017",Everyone,https://play.google.com/store/apps/details?id=net.peakgames.toonblast&hl=en&gl=us,2026-06-05 14:25:05
com.zeptolab.ctr.ads,Cut the Rope,ZeptoLab,Puzzle,GAME_PUZZLE,4.4592757,2711917.0,94182.0,"100,000,000+",100000000,265378087,True,0.0,USD,True,True,"Mar 27, 2012",Everyone,https://play.google.com/store/apps/details?id=com.zeptolab.ctr.ads&hl=en&gl=us,2026-02-09 10:25:41
com.spinmaster.gabbysdollhouse,Gabbys Dollhouse: Games & Cats,Play Piknik,Educational,GAME_EDUCATIONAL,4.179439,30793.0,1214.0,"10,000,000+",10000000,36447389,True,0.0,USD,False,True,"Oct 7, 2020",Everyone,https://play.google.com/store/apps/details?id=com.spinmaster.gabbysdollhouse&hl=en&gl=us,2026-05-27 15:11:04
io.voodoo.paper2,Paper.io 2,VOODOO,Arcade,GAME_ARCADE,4.0772824,2447769.0,139021.0,"100,000,000+",100000000,447366617,True,0.0,USD,True,True,"Sep 13, 2018",Everyone,https://play.google.com/store/apps/details?id=io.voodoo.paper2&hl=en&gl=us,2026-05-20 15:22:56
com.sega.sonicdash,Sonic Dash Run,SEGA,Arcade,GAME_ARCADE,4.690169,6511222.0,416828.0,"500,000,000+",500000000,514226923,True,0.0,USD,True,True,"Nov 26, 2013",Everyone,https://play.google.com/store/apps/details?id=com.sega.sonicdash&hl=en&gl=us,2026-05-29 14:39:18
com.robtopx.geometryjumplite,Geometry Dash Lite,RobTop Games,Arcade,GAME_ARCADE,4.4062986,7759603.0,496823.0,"500,000,000+",500000000,602282023,True,0.0,USD,True,False,"Sep 15, 2013",Everyone 10+,https://play.google.com/store/apps/details?id=com.robtopx.geometryjumplite&hl=en&gl=us,2026-01-30 14:03:50
net.peakgames.match,Match Factory!,Peak,Puzzle,GAME_PUZZLE,4.6652956,651213.0,22691.0,"10,000,000+",10000000,25652337,True,0.0,USD,False,True,"Dec 21, 2023",Everyone,https://play.google.com/store/apps/details?id=net.peakgames.match&hl=en&gl=us,2026-05-22 13:39:17
