platform,product_key,representative_product_name,category,brand_or_seller,appear_count,ranking_type_count,ranking_types_present,ranking_labels_present,is_in_multiple_ranking_types,best_rank,avg_rank,price_representative,price_median_across_appearances,review_count_representative,review_count_max,rating_representative,rating_median_across_appearances,rank_coupang_rank,rank_coupang_sales,rank_naver_buy_daily,rank_naver_buy_weekly,source_files
coupang,올바른건강식품 곡물효소 프로바이오틱스 블랙 270g,"올바른건강식품 곡물효소 프로바이오틱스 블랙, 270g, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,43,46.0,17900,17900.0,14137,14137,5.0,5.0,43,49,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,락토핏 골드 유산균 선물세트 100g,"락토핏 골드 유산균 선물세트, 100g, 3개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,18,31.0,30150,30150.0,21754,21754,5.0,5.0,44,18,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,일양약품 프라임 칼슘 마그네슘 비타민d 아연,"일양약품 프라임 칼슘 마그네슘 비타민D 아연, 180정, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,45,45.0,10850,10850,4096,4096,4.5,4.5,45,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,아임비타 멀티비타민 데일리,"아임비타 멀티비타민 데일리, 60정, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,46,46.0,9800,9800,11132,11132,5.0,5.0,46,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,일양약품 프라임 종합비타민 미네랄 플러스,"일양약품 프라임 종합비타민 미네랄 플러스, 180정, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,47,47.0,12530,12530,21847,21847,4.5,4.5,47,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,종근당건강 프로메가 알티지 오메가3 듀얼,"종근당건강 프로메가 알티지 오메가3 듀얼, 60정, 2개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,39,43.5,18260,18260.0,122909,122909,5.0,5.0,48,39,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,이너랩 차전자피 가르시니아 슬리밍 환 110g,"이너랩 차전자피 가르시니아 슬리밍 환, 110g, 1개",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,49,49.0,13280,13280,8997,8997,5.0,5.0,49,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,솔가 엽산 800,"솔가 엽산 800, 100정, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,10,30.0,18100,18100.0,15486,15486,5.0,5.0,50,10,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
coupang,베네틴 크레아틴 모노하이드레이트 분말 파우더 무맛 300g,"베네틴 크레아틴 모노하이드레이트 분말 파우더 무맛, 1개, 300g",헬스/건강식품,,1,1,coupang_rank,쿠팡랭킹순,0,51,51.0,12900,12900,65,65,5.0,5.0,51,,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,비타할로 온가족 생 유산균 300g,"비타할로 온가족 생 유산균, 300g, 1개",헬스/건강식품,,2,2,"coupang_rank, coupang_sales","쿠팡랭킹순, 판매량순",1,52,52.5,18990,18990.0,48922,48922,5.0,5.0,52,53,,,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx | 2026-06-01-12-23-19-쿠팡-헬스-건강식품-판매량순.xlsx
